LayerName,LayerType,Theoretical Flops,dram_read_bytes,dram_write_bytes
vgg0_conv0_fwd,Conv,173408256,0,0
vgg0_conv0_fwd,Conv,173408256,0,0
vgg0_batchnorm0_fwd,BatchNorm,6422528,0,0
vgg0_relu0_fwd,Relu,6422528,0,0
vgg0_conv1_fwd,Conv,3699376128,0,0
vgg0_conv1_fwd,Conv,3699376128,0,0
vgg0_batchnorm1_fwd,BatchNorm,6422528,0,0
vgg0_relu1_fwd,Relu,6422528,0,0
vgg0_pool0_fwd,Pooling,0,0,0
vgg0_conv2_fwd,Conv,1849688064,0,0
vgg0_conv2_fwd,Conv,1849688064,0,0
vgg0_batchnorm2_fwd,BatchNorm,3211264,0,0
vgg0_relu2_fwd,Relu,3211264,0,0
vgg0_conv3_fwd,Conv,3699376128,0,0
vgg0_conv3_fwd,Conv,3699376128,0,0
vgg0_batchnorm3_fwd,BatchNorm,3211264,0,0
vgg0_relu3_fwd,Relu,3211264,0,0
vgg0_pool1_fwd,Pooling,0,0,0
vgg0_conv4_fwd,Conv,1849688064,0,0
vgg0_conv4_fwd,Conv,1849688064,0,0
vgg0_batchnorm4_fwd,BatchNorm,1605632,0,0
vgg0_relu4_fwd,Relu,1605632,0,0
vgg0_conv5_fwd,Conv,3699376128,0,0
vgg0_conv5_fwd,Conv,3699376128,0,0
vgg0_batchnorm5_fwd,BatchNorm,1605632,0,0
vgg0_relu5_fwd,Relu,1605632,0,0
vgg0_conv6_fwd,Conv,3699376128,0,0
vgg0_conv6_fwd,Conv,3699376128,0,0
vgg0_batchnorm6_fwd,BatchNorm,1605632,0,0
vgg0_relu6_fwd,Relu,1605632,0,0
vgg0_pool2_fwd,Pooling,0,0,0
vgg0_conv7_fwd,Conv,1849688064,0,0
vgg0_conv7_fwd,Conv,1849688064,0,0
vgg0_batchnorm7_fwd,BatchNorm,802816,0,0
vgg0_relu7_fwd,Relu,802816,0,0
vgg0_conv8_fwd,Conv,3699376128,0,0
vgg0_conv8_fwd,Conv,3699376128,0,0
vgg0_batchnorm8_fwd,BatchNorm,802816,0,0
vgg0_relu8_fwd,Relu,802816,0,0
vgg0_conv9_fwd,Conv,3699376128,0,0
vgg0_conv9_fwd,Conv,3699376128,0,0
vgg0_batchnorm9_fwd,BatchNorm,802816,0,0
vgg0_relu9_fwd,Relu,802816,0,0
vgg0_pool3_fwd,Pooling,0,0,0
vgg0_conv10_fwd,Conv,924844032,0,0
vgg0_conv10_fwd,Conv,924844032,0,0
vgg0_batchnorm10_fwd,BatchNorm,200704,0,0
vgg0_relu10_fwd,Relu,200704,0,0
vgg0_conv11_fwd,Conv,924844032,0,0
vgg0_conv11_fwd,Conv,924844032,0,0
vgg0_batchnorm11_fwd,BatchNorm,200704,0,0
vgg0_relu11_fwd,Relu,200704,0,0
vgg0_conv12_fwd,Conv,924844032,0,0
vgg0_conv12_fwd,Conv,924844032,0,0
vgg0_batchnorm12_fwd,BatchNorm,200704,0,0
vgg0_relu12_fwd,Relu,200704,0,0
vgg0_pool4_fwd,Pooling,0,0,0
vgg0_dense0_fwd,Gemm,4198400,0,0
vgg0_dense0_relu_fwd,Relu,8192,0,0
vgg0_dropout0_fwd,Dropout,0,0,0
vgg0_dense1_fwd,Gemm,33558528,0,0
vgg0_dense1_relu_fwd,Relu,8192,0,0
vgg0_dropout1_fwd,Dropout,0,0,0
vgg0_dense2_fwd,Gemm,8193000,0,0
