LayerName,LayerType,Theoretical Flops,flop_count_sp,flops_sp_add,flops_sp_fma,flops_sp_mul,flops_sp_special,achieved_occupancy,dram_read_bytes,dram_write_bytes
conv_1,Conv,203233536,208291200,0,104005632,279936,0,0,0,0
conv_1,Conv,203233536,1119744,0,559872,0,0,0,0,0
relu_1,Relu,559872,559872,0,279936,0,0,0,0,0
maxpool_1,Pooling,0,64896,0,0,64896,0,0,0,0
relu_2,Relu,373248,373248,0,186624,0,0,0,0,0
maxpool_2,Pooling,0,46592,0,0,46592,0,0,0,0
conv_3,Conv,299040768,339803520,0,169869312,64896,0,0,0,0
conv_3,Conv,299040768,259584,0,129792,0,0,0,0,0
relu_3,Relu,129792,129792,0,64896,0,0,0,0,0
relu_4,Relu,129792,129792,0,64896,0,0,0,0,0
relu_5,Relu,86528,86528,0,43264,0,0,0,0,0
maxpool_3,Pooling,0,10752,0,0,10752,0,0,0,0
gemm_1,Gemm,75501568,76992512,307200,37752832,1179648,0,0,0,0
relu_6,Relu,8192,8192,0,4096,0,0,0,0,0
dropout_1,Dropout,0,34796,8192,12288,2028,8320,0,0,0
dropout_1,Dropout,0,34796,8192,12288,2028,8320,0,0,0
gemm_2,Gemm,33558528,34230272,143360,16781312,524288,0,0,0,0
relu_7,Relu,8192,8192,0,4096,0,0,0,0,0
dropout_2,Dropout,0,34796,8192,12288,2028,8320,0,0,0
dropout_2,Dropout,0,34796,8192,12288,2028,8320,0,0,0
gemm_3,Gemm,8193000,8523048,71000,4097000,258048,0,0,0,0
softmax_1,Softmax,3000,11260,2256,2002,5000,2001,0,0,0
